orderid,shipperid,freight,orderdate,shippeddate,country,delivery_days
10310,2,17.52,2013-09-20,2013-09-27,Usa,7.0
11038,2,29.59,2015-04-21,2015-04-30,Belgium,9.0
10313,2,1.96,2013-09-24,2013-10-04,Germany,10.0
10525,2,11.06,2014-05-02,2014-05-23,France,21.0
11041,2,48.22,2015-04-22,2015-04-28,Switzerland,6.0
10609,2,1.85,2014-07-24,2014-07-30,France,6.0
10530,2,339.22,2014-05-08,2014-05-12,Austria,4.0
10979,2,353.07,2015-03-26,2015-03-31,Austria,5.0
10981,2,193.37,2015-03-27,2015-04-02,Brazil,6.0
10843,2,9.26,2015-01-21,2015-01-26,France,5.0
10955,2,3.26,2015-03-17,2015-03-20,Sweden,3.0
10250,2,65.83,2013-07-08,2013-07-12,Brazil,4.0
10608,2,27.79,2014-07-23,2014-08-01,Germany,9.0
10529,2,66.69,2014-05-07,2014-05-09,Belgium,2.0
10254,2,22.98,2013-07-11,2013-07-23,Switzerland,12.0
11059,2,85.8,2015-04-29,,Brazil,
10872,2,175.32,2015-02-05,2015-02-09,Spain,4.0
10459,2,25.09,2014-02-27,2014-02-28,France,1.0
10978,2,32.82,2015-03-26,2015-04-23,Belgium,28.0
10543,2,48.17,2014-05-21,2014-05-23,Venezuela,2.0
10361,2,183.17,2013-11-22,2013-12-03,Germany,11.0
10547,2,178.43,2014-05-23,2014-06-02,Uk,10.0
10717,2,59.25,2014-10-24,2014-10-29,Germany,5.0
10916,2,63.77,2015-02-27,2015-03-09,Argentina,10.0
11069,2,15.67,2015-05-04,2015-05-06,Mexico,2.0
10442,2,47.94,2014-02-11,2014-02-18,Austria,7.0
10830,2,81.83,2015-01-13,2015-01-21,Brazil,8.0
10716,2,22.57,2014-10-24,2014-10-27,Argentina,3.0
10498,2,29.75,2014-04-07,2014-04-11,Venezuela,4.0
10967,2,62.22,2015-03-23,2015-04-02,Germany,10.0
10565,2,7.15,2014-06-11,2014-06-18,Canada,7.0
10943,2,2.17,2015-03-11,2015-03-19,Uk,8.0
10999,2,96.35,2015-04-03,2015-04-10,Germany,7.0
10861,2,14.93,2015-01-30,2015-02-17,Usa,18.0
10849,2,0.56,2015-01-23,2015-01-30,Germany,7.0
10941,2,400.81,2015-03-11,2015-03-20,Usa,9.0
10969,2,0.21,2015-03-23,2015-03-30,Brazil,7.0
10528,2,3.35,2014-05-06,2014-05-09,Usa,3.0
10424,2,370.61,2014-01-23,2014-01-27,Canada,4.0
10589,2,4.42,2014-07-04,2014-07-14,Usa,10.0
10577,2,25.41,2014-06-23,2014-06-30,Usa,7.0
10959,2,4.98,2015-03-18,2015-03-23,Brazil,5.0
10304,2,63.79,2013-09-12,2013-09-17,Mexico,5.0
10369,2,195.68,2013-12-02,2013-12-09,Usa,7.0
10487,2,71.07,2014-03-26,2014-03-28,Brazil,2.0
10332,2,52.84,2013-10-17,2013-10-21,Canada,4.0
10675,2,31.85,2014-09-19,2014-09-23,Germany,4.0
10972,2,0.02,2015-03-24,2015-03-26,France,2.0
10434,2,17.92,2014-02-03,2014-02-13,Sweden,10.0
10958,2,49.56,2015-03-18,2015-03-27,Argentina,9.0
10594,2,5.24,2014-07-09,2014-07-16,Usa,7.0
10334,2,8.56,2013-10-21,2013-10-28,France,7.0
10840,2,2.71,2015-01-19,2015-02-16,Venezuela,28.0
10387,2,93.63,2013-12-18,2013-12-20,Norway,2.0
10772,2,91.28,2014-12-10,2014-12-19,Germany,9.0
10526,2,58.59,2014-05-05,2014-05-15,Finland,10.0
10503,2,16.74,2014-04-11,2014-04-16,Ireland,5.0
10385,2,30.96,2013-12-17,2013-12-23,Usa,6.0
10853,2,53.83,2015-01-27,2015-02-03,Germany,7.0
10621,2,23.73,2014-08-05,2014-08-11,Uk,6.0
10720,2,9.53,2014-10-28,2014-11-05,Brazil,8.0
10456,2,8.12,2014-02-25,2014-02-28,Germany,3.0
10788,2,42.7,2014-12-22,2015-01-19,Germany,28.0
10624,2,94.8,2014-08-07,2014-08-19,Usa,12.0
10441,2,73.02,2014-02-10,2014-03-14,Usa,32.0
10321,2,3.43,2013-10-03,2013-10-11,Uk,8.0
10440,2,86.53,2014-02-10,2014-02-28,Usa,18.0
10996,2,1.12,2015-04-02,2015-04-10,Germany,8.0
10626,2,138.69,2014-08-11,2014-08-20,Sweden,9.0
10920,2,29.61,2015-03-03,2015-03-09,Uk,6.0
10676,2,2.01,2014-09-22,2014-09-29,Mexico,7.0
10474,2,83.49,2014-03-13,2014-03-21,Mexico,8.0
10572,2,116.43,2014-06-18,2014-06-25,Sweden,7.0
10998,2,20.31,2015-04-03,2015-04-17,Poland,14.0
10494,2,65.99,2014-04-02,2014-04-09,Brazil,7.0
10447,2,68.66,2014-02-14,2014-03-07,Brazil,21.0
10856,2,58.43,2015-01-28,2015-02-10,Mexico,13.0
10868,2,191.27,2015-02-04,2015-02-23,Brazil,19.0
10735,2,45.97,2014-11-10,2014-11-21,Usa,11.0
10483,2,15.28,2014-03-24,2014-04-25,Usa,32.0
10802,2,257.26,2014-12-29,2015-01-02,Denmark,4.0
10871,2,112.27,2015-02-05,2015-02-10,France,5.0
11031,2,227.22,2015-04-17,2015-04-24,Usa,7.0
11035,2,0.17,2015-04-20,2015-04-24,Belgium,4.0
10326,2,77.92,2013-10-10,2013-10-14,Spain,4.0
10402,2,67.88,2014-01-02,2014-01-10,Austria,8.0
10756,2,73.21,2014-11-27,2014-12-02,Usa,5.0
10272,2,98.03,2013-08-02,2013-08-06,Usa,4.0
10833,2,71.49,2015-01-15,2015-01-23,Germany,8.0
10663,2,113.15,2014-09-10,2014-10-03,France,23.0
11007,2,202.24,2015-04-08,2015-04-13,Portugal,5.0
10348,2,0.78,2013-11-07,2013-11-15,Germany,8.0
10455,2,180.45,2014-02-24,2014-03-03,Finland,7.0
10791,2,16.85,2014-12-23,2015-01-01,Germany,9.0
10692,2,61.02,2014-10-03,2014-10-13,Germany,10.0
10864,2,3.04,2015-02-02,2015-02-09,Uk,7.0
10740,2,81.88,2014-11-13,2014-11-25,Usa,12.0
10339,2,15.66,2013-10-28,2013-11-04,Canada,7.0
11072,2,258.64,2015-05-05,,Austria,
10816,2,719.78,2015-01-06,2015-02-04,Usa,29.0
10915,2,3.51,2015-02-27,2015-03-02,Mexico,3.0
11015,2,4.62,2015-04-10,2015-04-20,Norway,10.0
10514,2,789.95,2014-04-22,2014-05-16,Austria,24.0
11074,2,18.44,2015-05-06,,Denmark,
10561,2,242.21,2014-06-06,2014-06-09,Sweden,3.0
10602,2,2.92,2014-07-17,2014-07-22,Denmark,5.0
10768,2,146.32,2014-12-08,2014-12-15,Uk,7.0
10453,2,25.36,2014-02-21,2014-02-26,Uk,5.0
10827,2,63.54,2015-01-12,2015-02-06,France,25.0
11066,2,44.72,2015-05-01,2015-05-04,Usa,3.0
10644,2,0.14,2014-08-25,2014-09-01,Brazil,7.0
10534,2,27.94,2014-05-12,2014-05-14,Germany,2.0
10674,2,0.9,2014-09-18,2014-09-30,Uk,12.0
10521,2,17.22,2014-04-29,2014-05-02,Argentina,3.0
10435,2,9.21,2014-02-04,2014-02-07,Uk,3.0
10449,2,53.3,2014-02-18,2014-02-27,France,9.0
11077,2,8.53,2015-05-06,,Usa,
10271,2,4.54,2013-08-01,2013-08-30,Usa,29.0
10884,2,90.97,2015-02-12,2015-02-13,Usa,1.0
10425,2,7.93,2014-01-24,2014-02-14,France,21.0
10314,2,74.16,2013-09-25,2013-10-04,Usa,9.0
10253,2,58.17,2013-07-10,2013-07-16,Brazil,6.0
10278,2,92.69,2013-08-12,2013-08-16,Sweden,4.0
10611,2,80.65,2014-07-25,2014-08-01,Poland,7.0
10302,2,6.27,2013-09-10,2013-10-09,Belgium,29.0
10295,2,1.15,2013-09-02,2013-09-10,France,8.0
10573,3,84.84,2014-06-19,2014-06-20,Mexico,1.0
10734,3,1.63,2014-11-07,2014-11-12,Brazil,5.0
10505,3,7.13,2014-04-14,2014-04-21,Canada,7.0
10568,3,6.54,2014-06-13,2014-07-09,Spain,26.0
10634,3,487.38,2014-08-15,2014-08-21,France,6.0
10338,3,84.21,2013-10-25,2013-10-29,Usa,4.0
10337,3,108.26,2013-10-24,2013-10-29,Germany,5.0
10709,3,210.8,2014-10-17,2014-11-20,Brazil,34.0
10532,3,74.46,2014-05-09,2014-05-12,Uk,3.0
10635,3,47.46,2014-08-18,2014-08-21,Italy,3.0
10554,3,120.97,2014-05-30,2014-06-05,Germany,6.0
10650,3,176.81,2014-08-29,2014-09-03,Brazil,5.0
10353,3,360.63,2013-11-13,2013-11-25,Austria,12.0
10693,3,139.34,2014-10-06,2014-10-10,Usa,4.0
10838,3,59.28,2015-01-19,2015-01-23,Venezuela,4.0
10628,3,30.36,2014-08-12,2014-08-20,France,8.0
10729,3,141.06,2014-11-04,2014-11-14,Venezuela,10.0
10484,3,6.88,2014-03-24,2014-04-01,Uk,8.0
10306,3,7.56,2013-09-16,2013-09-23,Spain,7.0
10417,3,70.29,2014-01-16,2014-01-28,Denmark,12.0
10694,3,398.36,2014-10-06,2014-10-09,Germany,3.0
10815,3,14.62,2015-01-05,2015-01-14,Usa,9.0
10360,3,131.7,2013-11-22,2013-12-02,France,10.0
10990,3,117.61,2015-04-01,2015-04-07,Austria,6.0
10479,3,708.95,2014-03-19,2014-03-21,Usa,2.0
10398,3,89.16,2013-12-30,2014-01-09,Usa,10.0
10381,3,7.99,2013-12-12,2013-12-13,Venezuela,1.0
10814,3,130.94,2015-01-05,2015-01-14,France,9.0
10926,3,39.92,2015-03-04,2015-03-11,Mexico,7.0
10564,3,13.75,2014-06-10,2014-06-16,Usa,6.0
10465,3,145.04,2014-03-05,2014-03-14,Denmark,9.0
10501,3,8.85,2014-04-09,2014-04-16,Germany,7.0
10808,3,45.53,2015-01-01,2015-01-09,Usa,8.0
11058,3,31.14,2015-04-29,,Germany,
10935,3,47.59,2015-03-09,2015-03-18,Brazil,9.0
10879,3,8.5,2015-02-10,2015-02-12,Finland,2.0
10770,3,5.32,2014-12-09,2014-12-17,Brazil,8.0
10400,3,83.93,2014-01-01,2014-01-16,Uk,15.0
10510,3,367.63,2014-04-18,2014-04-28,Usa,10.0
10721,3,48.92,2014-10-29,2014-10-31,Germany,2.0
10597,3,35.12,2014-07-11,2014-07-18,Austria,7.0
10899,3,1.21,2015-02-20,2015-02-26,Venezuela,6.0
10860,3,19.26,2015-01-29,2015-02-04,France,6.0
10741,3,10.96,2014-11-14,2014-11-18,Uk,4.0
10517,3,32.07,2014-04-24,2014-04-29,Uk,5.0
10963,3,2.7,2015-03-19,2015-03-26,Portugal,7.0
10822,3,7.0,2015-01-08,2015-01-16,Usa,8.0
10357,3,34.88,2013-11-19,2013-12-02,Venezuela,13.0
10937,3,31.51,2015-03-10,2015-03-13,Argentina,3.0
11051,3,2.79,2015-04-27,,France,
10957,3,105.36,2015-03-18,2015-03-27,Venezuela,9.0
10889,3,280.61,2015-02-16,2015-02-23,Usa,7.0
10870,3,12.04,2015-02-04,2015-02-13,Poland,9.0
10293,3,21.18,2013-08-29,2013-09-11,Mexico,13.0
10835,3,69.53,2015-01-15,2015-01-21,Germany,6.0
10511,3,350.64,2014-04-18,2014-04-21,France,3.0
10742,3,243.73,2014-11-14,2014-11-18,Canada,4.0
10305,3,257.62,2013-09-13,2013-10-09,Usa,26.0
10977,3,208.5,2015-03-26,2015-04-10,Sweden,15.0
10516,3,62.78,2014-04-24,2014-05-01,Ireland,7.0
11033,3,84.74,2015-04-17,2015-04-23,Switzerland,6.0
10678,3,388.98,2014-09-23,2014-10-16,Usa,23.0
10933,3,54.15,2015-03-06,2015-03-16,Uk,10.0
11008,3,79.46,2015-04-08,,Austria,
10259,3,3.25,2013-07-18,2013-07-25,Mexico,7.0
10328,3,87.03,2013-10-14,2013-10-17,Portugal,3.0
10785,3,1.51,2014-12-18,2014-12-24,Venezuela,6.0
11025,3,29.17,2015-04-15,2015-04-24,Finland,9.0
10776,3,351.53,2014-12-15,2014-12-18,Austria,3.0
10519,3,91.76,2014-04-28,2014-05-01,Switzerland,3.0
10834,3,29.78,2015-01-15,2015-01-19,Brazil,4.0
11057,3,4.13,2015-04-29,2015-05-01,Uk,2.0
10308,3,1.61,2013-09-18,2013-09-24,Mexico,6.0
10333,3,0.59,2013-10-18,2013-10-25,Finland,7.0
10793,3,4.52,2014-12-24,2015-01-08,Uk,15.0
10268,3,66.29,2013-07-30,2013-08-02,Venezuela,3.0
10571,3,26.06,2014-06-17,2014-07-04,Austria,17.0
10273,3,76.07,2013-08-05,2013-08-12,Germany,7.0
10819,3,19.76,2015-01-07,2015-01-16,Argentina,9.0
10677,3,4.03,2014-09-22,2014-09-26,Mexico,4.0
10876,3,60.42,2015-02-09,2015-02-12,France,3.0
10883,3,0.53,2015-02-12,2015-02-20,Usa,8.0
10316,3,150.15,2013-09-27,2013-10-08,Usa,11.0
10287,3,12.76,2013-08-22,2013-08-28,Brazil,6.0
10394,3,30.34,2013-12-25,2014-01-03,Usa,9.0
10679,3,27.94,2014-09-23,2014-09-30,France,7.0
10629,3,85.46,2014-08-12,2014-08-20,Spain,8.0
10458,3,147.06,2014-02-26,2014-03-04,Belgium,6.0
10392,3,122.46,2013-12-24,2014-01-01,Austria,8.0
10907,3,9.19,2015-02-25,2015-02-27,France,2.0
10599,3,29.98,2014-07-15,2014-07-21,Uk,6.0
10495,3,4.65,2014-04-03,2014-04-11,Canada,8.0
10767,3,1.59,2014-12-05,2014-12-15,Belgium,10.0
10606,3,79.4,2014-07-22,2014-07-31,Brazil,9.0
11003,3,14.91,2015-04-06,2015-04-08,Usa,2.0
10619,3,91.05,2014-08-04,2014-08-07,Canada,3.0
10444,3,3.5,2014-02-12,2014-02-21,Sweden,9.0
10633,3,477.9,2014-08-15,2014-08-18,Austria,3.0
10411,3,23.65,2014-01-10,2014-01-21,Canada,11.0
10930,3,15.55,2015-03-06,2015-03-18,Belgium,12.0
10354,3,53.8,2013-11-14,2013-11-20,Mexico,6.0
10476,3,4.41,2014-03-17,2014-03-24,Venezuela,7.0
10765,3,42.74,2014-12-04,2014-12-09,Germany,5.0
10471,3,45.59,2014-03-11,2014-03-18,Uk,7.0
10994,3,65.53,2015-04-02,2015-04-09,Denmark,7.0
10733,3,110.11,2014-11-07,2014-11-10,Sweden,3.0
10598,3,44.42,2014-07-14,2014-07-18,Usa,4.0
10320,3,34.57,2013-10-03,2013-10-18,Finland,15.0
10570,3,188.99,2014-06-17,2014-06-19,Canada,2.0
10846,3,56.46,2015-01-22,2015-01-23,Belgium,1.0
10396,3,135.35,2013-12-27,2014-01-06,Germany,10.0
10433,3,73.83,2014-02-03,2014-03-04,Portugal,29.0
10248,3,32.38,2013-07-04,2013-07-16,France,12.0
10904,3,162.95,2015-02-24,2015-02-27,Usa,3.0
10403,3,73.79,2014-01-03,2014-01-09,Austria,6.0
10622,3,50.97,2014-08-06,2014-08-11,Brazil,5.0
10707,3,21.74,2014-10-16,2014-10-23,Uk,7.0
10882,3,23.1,2015-02-11,2015-02-20,Usa,9.0
10439,3,4.07,2014-02-07,2014-02-10,Canada,3.0
10792,3,23.79,2014-12-23,2014-12-31,Poland,8.0
10758,3,138.17,2014-11-28,2014-12-04,Switzerland,6.0
10773,3,96.43,2014-12-11,2014-12-16,Austria,5.0
10995,3,46.0,2015-04-02,2015-04-06,Mexico,4.0
10764,3,145.45,2014-12-03,2014-12-08,Austria,5.0
10576,3,18.56,2014-06-23,2014-06-30,Mexico,7.0
10885,3,5.64,2015-02-12,2015-02-18,Belgium,6.0
10739,3,11.08,2014-11-12,2014-11-17,France,5.0
10922,3,62.74,2015-03-03,2015-03-05,Brazil,2.0
10664,3,1.27,2014-09-10,2014-09-19,Portugal,9.0
10968,3,74.6,2015-03-23,2015-04-01,Austria,9.0
10378,3,5.44,2013-12-10,2013-12-19,Sweden,9.0
10340,3,166.31,2013-10-29,2013-11-08,France,10.0
10478,3,4.81,2014-03-18,2014-03-26,France,8.0
10661,3,17.55,2014-09-09,2014-09-15,Ireland,6.0
10491,3,16.96,2014-03-31,2014-04-08,Portugal,8.0
10887,3,1.25,2015-02-13,2015-02-16,Spain,3.0
10799,3,30.76,2014-12-26,2015-01-05,Germany,10.0
10383,3,34.24,2013-12-16,2013-12-18,Uk,2.0
10283,3,84.81,2013-08-16,2013-08-23,Venezuela,7.0
10555,3,252.49,2014-06-02,2014-06-04,Usa,2.0
10423,3,24.5,2014-01-23,2014-02-24,Brazil,32.0
10359,3,288.43,2013-11-21,2013-11-26,Uk,5.0
10615,3,0.75,2014-07-30,2014-08-06,Finland,7.0
10540,3,1007.64,2014-05-19,2014-06-13,Germany,25.0
10754,3,2.38,2014-11-25,2014-11-27,Italy,2.0
10461,3,148.61,2014-02-28,2014-03-05,Venezuela,5.0
10276,3,13.84,2013-08-08,2013-08-14,Mexico,6.0
11032,3,606.19,2015-04-17,2015-04-23,Usa,6.0
10542,3,10.95,2014-05-20,2014-05-26,Germany,6.0
10805,3,237.34,2014-12-30,2015-01-09,Usa,10.0
10493,3,10.64,2014-04-02,2014-04-10,France,8.0
10992,3,4.27,2015-04-01,2015-04-03,Usa,2.0
10701,3,220.31,2014-10-13,2014-10-15,Ireland,2.0
10391,3,5.45,2013-12-23,2013-12-31,Germany,8.0
10752,3,1.39,2014-11-24,2014-11-28,Uk,4.0
10590,3,44.77,2014-07-07,2014-07-14,Canada,7.0
10380,3,35.03,2013-12-12,2014-01-16,Ireland,35.0
10463,3,14.78,2014-03-04,2014-03-06,Belgium,2.0
11036,3,149.47,2015-04-20,2015-04-22,Germany,2.0
11000,3,55.12,2015-04-06,2015-04-14,Usa,8.0
10538,3,4.87,2014-05-15,2014-05-16,Uk,1.0
10706,3,135.63,2014-10-16,2014-10-21,Usa,5.0
10975,3,32.27,2015-03-25,2015-03-27,Canada,2.0
10322,3,0.4,2013-10-04,2013-10-23,Mexico,19.0
10373,3,124.12,2013-12-05,2013-12-11,Ireland,6.0
10714,3,24.49,2014-10-22,2014-10-27,Usa,5.0
10377,3,22.21,2013-12-09,2013-12-13,Uk,4.0
10384,3,168.64,2013-12-16,2013-12-20,Sweden,4.0
10781,3,73.16,2014-12-17,2014-12-19,Finland,2.0
10949,3,74.44,2015-03-13,2015-03-17,Canada,4.0
10699,3,0.58,2014-10-09,2014-10-13,Germany,4.0
10842,3,54.42,2015-01-20,2015-01-29,Mexico,9.0
11048,3,24.12,2015-04-24,2015-04-30,Canada,6.0
10346,3,142.08,2013-11-05,2013-11-08,Usa,3.0
10580,3,75.89,2014-06-26,2014-07-01,Germany,5.0
11047,3,46.62,2015-04-24,2015-05-01,Uk,7.0
10784,3,70.09,2014-12-18,2014-12-22,Italy,4.0
10942,3,17.95,2015-03-11,2015-03-18,Italy,7.0
10468,3,44.12,2014-03-07,2014-03-12,Germany,5.0
11040,3,18.84,2015-04-22,,Usa,
10473,3,16.37,2014-03-13,2014-03-21,Uk,8.0
10347,3,3.1,2013-11-06,2013-11-08,Brazil,2.0
10906,3,26.29,2015-02-25,2015-03-03,Poland,6.0
10482,3,7.48,2014-03-21,2014-04-10,Usa,20.0
10614,3,1.93,2014-07-29,2014-08-01,Germany,3.0
10289,3,22.77,2013-08-26,2013-08-28,Uk,2.0
10965,3,144.38,2015-03-20,2015-03-30,Usa,10.0
10696,3,102.55,2014-10-08,2014-10-14,Usa,6.0
10837,3,13.32,2015-01-16,2015-01-23,Sweden,7.0
10325,3,64.86,2013-10-09,2013-10-14,Germany,5.0
10262,3,48.29,2013-07-22,2013-07-25,Usa,3.0
10974,3,12.96,2015-03-25,2015-04-03,Usa,9.0
10818,3,65.48,2015-01-07,2015-01-12,Italy,5.0
10642,3,41.89,2014-08-22,2014-09-05,Denmark,14.0
10588,3,194.67,2014-07-03,2014-07-10,Germany,7.0
10918,3,48.83,2015-03-02,2015-03-11,Canada,9.0
10386,3,13.99,2013-12-18,2013-12-25,Brazil,7.0
10319,3,64.5,2013-10-02,2013-10-11,Mexico,9.0
10746,3,31.43,2014-11-19,2014-11-21,Switzerland,2.0
10374,3,3.94,2013-12-05,2013-12-09,Poland,4.0
10341,3,26.78,2013-10-29,2013-11-05,Denmark,7.0
10277,3,125.77,2013-08-09,2013-08-13,Germany,4.0
10649,3,6.2,2014-08-28,2014-08-29,Belgium,1.0
10414,3,21.48,2014-01-14,2014-01-17,Brazil,3.0
10759,3,11.99,2014-11-28,2014-12-12,Mexico,14.0
10940,3,19.77,2015-03-11,2015-03-23,France,12.0
10896,3,32.45,2015-02-19,2015-02-27,Belgium,8.0
10639,3,38.64,2014-08-20,2014-08-27,Norway,7.0
11019,3,3.17,2015-04-13,,Argentina,
10311,3,24.69,2013-09-20,2013-09-26,France,6.0
11012,3,242.95,2015-04-09,2015-04-17,Germany,8.0
10800,3,137.44,2014-12-26,2015-01-05,Uk,10.0
10910,3,38.11,2015-02-26,2015-03-04,Finland,6.0
10944,3,52.92,2015-03-12,2015-03-13,Canada,1.0
10266,3,25.73,2013-07-26,2013-07-31,Finland,5.0
10546,3,194.72,2014-05-23,2014-05-27,France,4.0
10367,3,13.55,2013-11-28,2013-12-02,Denmark,4.0
10620,3,0.94,2014-08-05,2014-08-14,Canada,9.0
10923,3,68.26,2015-03-03,2015-03-13,France,10.0
10782,3,1.1,2014-12-17,2014-12-22,Argentina,5.0
10578,3,29.6,2014-06-24,2014-07-25,Uk,31.0
10255,3,148.33,2013-07-12,2013-07-15,Switzerland,3.0
10984,3,211.22,2015-03-30,2015-04-03,Usa,4.0
10551,3,72.95,2014-05-28,2014-06-06,Portugal,9.0
10363,3,30.54,2013-11-26,2013-12-04,Germany,8.0
10352,3,1.3,2013-11-12,2013-11-18,Portugal,6.0
10934,3,32.01,2015-03-09,2015-03-12,Germany,3.0
10539,3,12.36,2014-05-16,2014-05-23,Uk,7.0
10399,3,27.36,2013-12-31,2014-01-08,Denmark,8.0
10948,3,23.39,2015-03-13,2015-03-19,Spain,6.0
10839,3,35.43,2015-01-19,2015-01-22,Brazil,3.0
10646,3,142.33,2014-08-27,2014-09-03,Ireland,7.0
10264,3,3.67,2013-07-24,2013-08-23,Sweden,30.0
10410,3,2.4,2014-01-10,2014-01-15,Canada,5.0
11061,3,14.01,2015-04-30,,Usa,
10751,3,130.79,2014-11-24,2014-12-03,Switzerland,9.0
10550,3,4.32,2014-05-28,2014-06-06,Spain,9.0
10286,3,229.24,2013-08-21,2013-08-30,Germany,9.0
10718,3,170.88,2014-10-27,2014-10-29,Germany,2.0
10810,3,4.33,2015-01-01,2015-01-07,Canada,6.0
10263,3,146.06,2013-07-23,2013-07-31,Austria,8.0
10627,3,107.46,2014-08-11,2014-08-21,Usa,10.0
11014,3,23.6,2015-04-10,2015-04-15,Venezuela,5.0
10454,3,2.74,2014-02-21,2014-02-25,France,4.0
10847,3,487.57,2015-01-22,2015-02-10,Usa,19.0
10681,3,76.13,2014-09-25,2014-09-30,Usa,5.0
10725,3,10.83,2014-10-31,2014-11-05,Brazil,5.0
10451,3,189.09,2014-02-19,2014-03-12,Germany,21.0
10993,3,8.81,2015-04-01,2015-04-10,Sweden,9.0
10763,3,37.35,2014-12-03,2014-12-08,France,5.0
10416,3,22.72,2014-01-16,2014-01-27,Finland,11.0
10393,3,126.56,2013-12-25,2014-01-03,Usa,9.0
10257,3,81.91,2013-07-16,2013-07-22,Venezuela,6.0
10504,3,59.13,2014-04-11,2014-04-18,Usa,7.0
10903,3,36.71,2015-02-24,2015-03-04,Brazil,8.0
